row_id,Salary,q1,q3,iqr,lower_bound,upper_bound,log_salary,modified_z_log_salary,is_iqr_outlier,is_low_outlier,is_high_outlier,is_log_mz_outlier,is_log_mz_low_outlier,is_hybrid_outlier,kept_in_analysis
338,106492,70000.0,160000.0,90000.0,-65000.0,295000.0,11.575825143939273,-0.08953691356449954,False,False,False,False,False,False,True
339,120000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.695247021764184,0.10972442835437447,False,False,False,False,False,False,True
340,145000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.884489021402711,0.4254841156260003,False,False,False,False,False,False,True
341,95000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.461632170582678,-0.2800735683481583,False,False,False,False,False,False,True
342,140000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.84939770159144,0.3669325034536489,False,False,False,False,False,False,True
343,95000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.461632170582678,-0.2800735683481583,False,False,False,False,False,False,True
344,165000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.013700752882718,0.6410803152111051,False,False,False,False,False,False,True
345,185000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.128111104060462,0.8319796756994018,False,False,False,False,False,False,True
346,179180,70000.0,160000.0,90000.0,-65000.0,295000.0,12.09614616615157,0.7786445872039942,False,False,False,False,False,False,True
347,105000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.56171562913966,-0.11307934066413845,False,False,False,False,False,False,True
348,190000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.154779351142624,0.8764769721496105,False,False,False,False,False,False,True
349,200000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.206072645530174,0.962062384615559,False,False,False,False,False,False,True
350,210000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.254862809699606,1.0434711998336303,False,False,False,False,False,False,True
351,185000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.128111104060462,0.8319796756994018,False,False,False,False,False,False,True
352,70000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.156250521031495,-0.7896180370441199,False,False,False,False,False,False,True
353,190000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.154779351142624,0.8764769721496105,False,False,False,False,False,False,True
354,135000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.813030057420567,0.3062512806165656,False,False,False,False,False,False,True
355,188651,70000.0,160000.0,90000.0,-65000.0,295000.0,12.147654026200035,0.8645880131453829,False,False,False,False,False,False,True
356,185000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.128111104060462,0.8319796756994018,False,False,False,False,False,False,True
357,170000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.043553716032399,0.6908914687937134,False,False,False,False,False,False,True
358,193000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.170445467887022,0.9026166670028716,False,False,False,False,False,False,True
359,170000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.043553716032399,0.6908914687937134,False,False,False,False,False,False,True
360,160000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.982929094215963,0.5897362724721619,False,False,False,False,False,False,True
361,100000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.512925464970229,-0.19448815588220966,False,False,False,False,False,False,True
362,195000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.180754837545884,0.9198183629565582,False,False,False,False,False,False,True
