model,lm_stat,lm_p_value,f_stat,f_p_value,heteroskedasticity_at_5pct
model1_level_level,46.81856378538074,6.055808156439143e-08,7.374895913121677,2.3116993112662435e-08,True
model2_log_level,47.15759565225068,5.200525869565877e-08,7.434965765284665,1.950783523829438e-08,True
model3_log_level_extended,83.88494704864297,2.604206344481725e-13,9.232950698636582,7.479420379097886e-15,True
