model,term,coef,std_err,t,p_value,ci_lower_95,ci_upper_95
model1_level_level,Intercept,65191.73749956289,14404.186808521572,4.525888088385192,7.851148216881968e-06,36878.06899992056,93505.40599920522
model1_level_level,"C(Gender, Treatment(reference='Female'))[T.Male]",5326.145442339959,2900.72438113581,1.8361432326963962,0.06704652681889432,-375.6792859897914,11027.970170669709
model1_level_level,"C(Gender, Treatment(reference='Female'))[T.Other]",-27772.277912764213,30860.912249681252,-0.899917594401347,0.36868225188199966,-88434.19868965191,32889.64286412348
model1_level_level,"C(Q('Education Level'), Treatment(reference='High School'))[T.Bachelor]",36449.70296807188,5651.242629393348,6.449856316288564,3.098770111882758e-10,25341.30701717867,47558.098918965086
model1_level_level,"C(Q('Education Level'), Treatment(reference='High School'))[T.Master]",48547.673226904124,6058.851217395889,8.012686148739935,1.1303279152424917e-14,36638.05922797202,60457.287225836226
model1_level_level,"C(Q('Education Level'), Treatment(reference='High School'))[T.PhD]",57205.32425318837,6913.70748634408,8.274189263312056,1.751341896087916e-15,43615.357358560635,70795.29114781611
model1_level_level,Age,-1659.979732423165,544.1937747042331,-3.0503467874570167,0.0024313007925288424,-2729.6771989562426,-590.2822658900873
model1_level_level,Q('Years of Experience'),7282.256757381144,652.5052173190392,11.160457516802538,1.7146982723241985e-25,5999.656311896184,8564.857202866104
