model,term,coef,std_err,t,p_value,ci_lower_95,ci_upper_95
model1_level_level,Intercept,65191.73749956289,15800.338921155118,4.125970830428042,4.456729980611067e-05,34133.714971632384,96249.76002749341
model1_level_level,"C(Gender, Treatment(reference='Female'))[T.Male]",5326.145442339959,2964.761516044511,1.7964836002883395,0.07313953153745245,-501.5542300997349,11153.845114779653
model1_level_level,"C(Gender, Treatment(reference='Female'))[T.Other]",-27772.277912764213,103533.46264272738,-0.2682444612965435,0.7886434805266256,-231283.39442730788,175738.83860177948
model1_level_level,"C(Q('Education Level'), Treatment(reference='High School'))[T.Bachelor]",36449.70296807188,2939.064054525203,12.401806252555533,2.719683609082257e-30,30672.515651269612,42226.89028487414
model1_level_level,"C(Q('Education Level'), Treatment(reference='High School'))[T.Master]",48547.673226904124,3904.2406314743944,12.434600684069675,2.016020358136182e-30,40873.28129823222,56222.06515557603
model1_level_level,"C(Q('Education Level'), Treatment(reference='High School'))[T.PhD]",57205.32425318837,5207.668241056357,10.984824993687477,7.806161422360181e-25,46968.84272226611,67441.80578411063
model1_level_level,Age,-1659.979732423165,635.8789630795658,-2.610527834391427,0.009365163992686842,-2909.8986904222284,-410.06077442410174
model1_level_level,Q('Years of Experience'),7282.256757381144,846.9341223260956,8.598374496212886,1.6392313294549858e-16,5617.476072477081,8947.037442285206
model2_log_level,Intercept,10.846028470586162,0.20357117355328683,53.27880309019835,1.89665866199626e-188,10.445877681048984,11.246179260123341
model2_log_level,"C(Gender, Treatment(reference='Female'))[T.Male]",0.04225738499595297,0.036845745808760426,1.1468728361553717,0.2520902264472045,-0.030168656565389806,0.11468342655729574
model2_log_level,"C(Gender, Treatment(reference='Female'))[T.Other]",0.032233939512587254,18.667219059855782,0.0017267670888325818,0.9986230636580928,-36.661087196691845,36.72555507571702
model2_log_level,"C(Q('Education Level'), Treatment(reference='High School'))[T.Bachelor]",0.6598888388266098,0.059795953097285685,11.035677243123734,5.039883263254414e-25,0.5423505969166189,0.7774270807366006
model2_log_level,"C(Q('Education Level'), Treatment(reference='High School'))[T.Master]",0.8314995550463978,0.056440704836118134,14.732267385050369,7.289758841877479e-40,0.7205565752128816,0.942442534879914
model2_log_level,"C(Q('Education Level'), Treatment(reference='High School'))[T.PhD]",0.8375662397596684,0.06477922912136742,12.929549349691122,2.1085940404851984e-32,0.7102325941060524,0.9648998854132843
model2_log_level,Age,-0.02078674020314312,0.00784254961938546,-2.6505079613091387,0.008342223845932738,-0.03620249071145433,-0.005370989694831905
model2_log_level,Q('Years of Experience'),0.07657473043892776,0.011366593217549464,6.736823336010664,5.37733812792037e-11,0.054231924377735705,0.09891753650011982
model3_log_level_extended,Intercept,9.677182244108067,0.4721692252065541,20.495156667346773,5.932702707385134e-65,8.749034187430365,10.60533030078577
model3_log_level_extended,"C(Gender, Treatment(reference='Female'))[T.Male]",0.03525389690628349,0.03457440948055356,1.0196529003947878,0.3084885832540116,-0.032709386715424095,0.10321718052799109
model3_log_level_extended,"C(Gender, Treatment(reference='Female'))[T.Other]",-0.17773209423830222,176.94124049633092,-0.0010044695840254816,0.9991990331834173,-347.9930062493234,347.6375420608468
model3_log_level_extended,"C(Q('Education Level'), Treatment(reference='High School'))[T.Bachelor]",0.5598442121310079,0.08556920026289801,6.542590212494378,1.7881831204207523e-10,0.3916399271085549,0.7280484971534609
model3_log_level_extended,"C(Q('Education Level'), Treatment(reference='High School'))[T.Master]",0.8556254611772313,0.08009687231275159,10.682382925469287,1.0882367536117267e-23,0.6981781892790656,1.013072733075397
model3_log_level_extended,"C(Q('Education Level'), Treatment(reference='High School'))[T.PhD]",1.0752063153284266,0.14421909069621783,7.455367456124337,5.294360652112544e-13,0.7917133182849123,1.3586993123719409
model3_log_level_extended,Age,0.045146332034326164,0.02689403433530078,1.678674588998633,0.09397005500590654,-0.007719556659739377,0.0980122207283917
model3_log_level_extended,Age2,-0.0008538458441819999,0.00037638707625556214,-2.2685312489375944,0.023811028849281348,-0.0015937139142206177,-0.00011397777414338223
model3_log_level_extended,Q('Years of Experience'),0.08720372495755511,0.00909642941199997,9.586588430237951,8.633177491044227e-20,0.06932277713051219,0.10508467278459804
model3_log_level_extended,Exp_x_Bachelor,0.00268057391912093,0.011038041404854104,0.2428486921549431,0.8082428836213789,-0.01901702120678258,0.02437816904502444
model3_log_level_extended,Exp_x_Master,-0.0190578569338749,0.007259279175935714,-2.625309823742708,0.00897763539475422,-0.033327499045933774,-0.004788214821816026
model3_log_level_extended,Exp_x_PhD,-0.02903703510287352,0.009909347551403814,-2.930267099044273,0.003574190584532964,-0.048515944743280436,-0.009558125462466607
