model,term,coef,std_err,t,p_value,ci_lower_95,ci_upper_95
model1_level_level,Intercept,63493.002424146274,15644.478106265673,4.058492842833606,5.898129569200016e-05,32741.13442272288,94244.87042556966
model1_level_level,"C(Gender, Treatment(reference='Female'))[T.Male]",5602.145313678861,2957.296318369234,1.894346967830433,0.058870630692683376,-210.92083054510567,11415.211457902828
model1_level_level,"C(Gender, Treatment(reference='Female'))[T.Other]",-26771.074052573647,355923.3692596126,-0.07521583679167375,0.9400790539142199,-726398.6612272359,672856.5131220886
model1_level_level,"C(Q('Education Level'), Treatment(reference='High School'))[T.Bachelor]",36908.31922627931,2924.8925876192116,12.618692181213309,3.82061344918593e-31,31158.94809597717,42657.69035658144
model1_level_level,"C(Q('Education Level'), Treatment(reference='High School'))[T.Master]",48751.380836726625,3897.068296566661,12.509757881245465,1.0375219196537605e-30,41091.0339057189,56411.72776773435
model1_level_level,"C(Q('Education Level'), Treatment(reference='High School'))[T.PhD]",57442.78946287528,5206.163077327953,11.033613163796169,5.2095285020807685e-25,47209.195305218265,67676.38362053229
model1_level_level,Age,-1593.6482820619258,629.4205662207573,-2.5319291545090437,0.011709884503457293,-2830.8808722657377,-356.4156918581141
model1_level_level,Q('Years of Experience'),7182.795822750775,837.3829825676147,8.577671116179864,1.9227799231084055e-16,5536.777926107479,8828.813719394071
