model,n_obs,r_squared,adj_r_squared,f_stat,f_p_value,aic,bic
model1_level_level,425,0.6967544886127535,0.6916640363832314,136.87477206286695,7.068756793777721e-104,9957.379063570976,9989.79577692237
model2_log_level,425,0.7133362217813104,0.7085241199886705,148.23797428233135,6.064721117716277e-109,189.21650410811822,221.63321745951356
model3_log_level_extended,425,0.7484745160572155,0.7417752900926377,111.72552172665617,2.4057562091055977e-116,141.6410763650738,190.26614639216677
