model,n_obs,r_squared,adj_r_squared,f_stat,f_p_value,aic,bic
model1_level_level,425,0.6967544886127535,0.6916640363832314,263.2115786761412,1.1284187125206759e-148,9957.379063570976,9989.79577692237
model2_log_level,425,0.7133362217813104,0.7085241199886705,158.10587677888284,3.994228445297882e-113,189.21650410811822,221.63321745951356
model3_log_level_extended,425,0.7484745160572153,0.7417752900926374,155.57362871542185,2.6734438080157797e-139,141.64107636507424,190.26614639216723
