model,term,coef,std_err,t,p_value,ci_lower_95,ci_upper_95
model1_level_level,Intercept,63493.002424146274,14342.242631909263,4.4269926296522275,1.2218717355241114e-05,35300.89852237288,91685.10632591967
model1_level_level,"C(Gender, Treatment(reference='Female'))[T.Male]",5602.145313678861,2887.00142101177,1.9404719626759137,0.05299603708492889,-72.7443193168674,11277.03494667459
model1_level_level,"C(Gender, Treatment(reference='Female'))[T.Other]",-26771.074052573647,30693.009702190844,-0.8722205581117302,0.3835899911107492,-87103.37638422879,33561.2282790815
model1_level_level,"C(Q('Education Level'), Treatment(reference='High School'))[T.Bachelor]",36908.31922627931,5623.270645641146,6.5634968601215435,1.56348202201234e-10,25854.829588821995,47961.80886373662
model1_level_level,"C(Q('Education Level'), Treatment(reference='High School'))[T.Master]",48751.380836726625,6025.929180372976,8.090267803928812,6.563103301926324e-15,36906.39773904576,60596.36393440749
model1_level_level,"C(Q('Education Level'), Treatment(reference='High School'))[T.PhD]",57442.78946287528,6876.170663606225,8.353892344020045,9.896927957671623e-16,43926.512910460915,70959.06601528963
model1_level_level,Age,-1593.6482820619258,541.8992707839096,-2.94085703373721,0.0034553477353291583,-2658.8429617451184,-528.4536023787332
model1_level_level,Q('Years of Experience'),7182.795822750775,650.2383647736904,11.046404229394682,4.666160305146968e-25,5904.642328133819,8460.949317367731
model2_log_level,Intercept,10.71869257873664,0.14646167916148364,73.18428028480116,4.517655081313789e-240,10.430797374163665,11.006587783309614
model2_log_level,"C(Gender, Treatment(reference='Female'))[T.Male]",0.06294612585725327,0.02948179630724074,2.135084484041214,0.03333636517355769,0.0049946683316734325,0.12089758338283312
model2_log_level,"C(Gender, Treatment(reference='Female'))[T.Other]",0.10728342092114934,0.3134342274688008,0.34228368033554446,0.7323098650478292,-0.508824570970785,0.7233914128130838
model2_log_level,"C(Q('Education Level'), Treatment(reference='High School'))[T.Bachelor]",0.6942663654348745,0.0574243291148704,12.090108428538693,4.693600957200474e-29,0.5813891331605977,0.8071435977091513
model2_log_level,"C(Q('Education Level'), Treatment(reference='High School'))[T.Master]",0.8467693228569674,0.06153624150117449,13.76049791472568,8.758583720227036e-36,0.7258094312521503,0.9677292144617845
model2_log_level,"C(Q('Education Level'), Treatment(reference='High School'))[T.PhD]",0.8553664516327841,0.0702188303070588,12.181439763270989,2.0578260822923023e-29,0.717339463058957,0.9933934402066112
model2_log_level,Age,-0.01581458503212609,0.00553382613670296,-2.857803017560718,0.004479563010785077,-0.026692256357611868,-0.004936913706640308
model2_log_level,Q('Years of Experience'),0.06911921427361846,0.006640175124920068,10.409245686039116,1.0349250863499173e-22,0.056066826871440115,0.0821716016757968
model3_log_level_extended,Intercept,10.26449615816602,0.0773686880112905,132.66990073126365,0.0,10.112410627459717,10.416581688872323
model3_log_level_extended,"C(Gender, Treatment(reference='Female'))[T.Male]",0.054910986251315984,0.02781419555518992,1.9742072404128905,0.04902406749525906,0.00023593874937750253,0.10958603375325446
model3_log_level_extended,"C(Gender, Treatment(reference='Female'))[T.Other]",-0.15996195767938237,0.3783911979915988,-0.42274227975814044,0.672703320254499,-0.9037748313415057,0.583850915982741
model3_log_level_extended,"C(Q('Education Level'), Treatment(reference='High School'))[T.Bachelor]",0.618467559941725,0.06465466471902022,9.565706707002429,1.0284445515445373e-19,0.49137429716085224,0.7455608227225977
model3_log_level_extended,"C(Q('Education Level'), Treatment(reference='High School'))[T.Master]",0.8575097144064009,0.07799016567597125,10.995100561385259,7.713316173591132e-25,0.7042025297870662,1.0108168990257356
model3_log_level_extended,"C(Q('Education Level'), Treatment(reference='High School'))[T.PhD]",1.0626778578694407,0.10859001306229607,9.786147251495422,1.77491948284173e-20,0.849219801509823,1.2761359142290583
model3_log_level_extended,Age_c,-0.0077865103570672915,0.005363832900424755,-1.4516690772471095,0.14735282952601075,-0.018330328460354567,0.002757307746219983
model3_log_level_extended,Age2_c,-0.0009143718017354809,0.00023355058737819628,-3.9150909959169065,0.0001056927726487476,-0.0013734679288792998,-0.00045527567459166204
model3_log_level_extended,Q('Years of Experience'),0.08265659434207988,0.010366762486778187,7.973231223103689,1.5298447892970095e-14,0.06227839464612822,0.10303479403803154
model3_log_level_extended,Exp_x_Bachelor,-0.003425174610719998,0.010198150330907986,-0.3358623377358117,0.73714523653323,-0.023471929249656975,0.016621580028216978
model3_log_level_extended,Exp_x_Master,-0.019910107211966427,0.010444154785831255,-1.9063397297574398,0.05729995338446891,-0.040440438851429256,0.0006202244274963985
model3_log_level_extended,Exp_x_PhD,-0.02914701948480972,0.011008464440498907,-2.647691659663368,0.008414594765105898,-0.05078662847559969,-0.007507410494019748
