row_id,Salary,lower_bound,upper_bound,modified_z_log_salary,is_iqr_outlier,is_log_mz_outlier,is_hybrid_outlier,kept_in_analysis
197,25000,-65000.0,295000.0,-2.5075892368777475,False,False,False,True
198,30000,-65000.0,295000.0,-2.203376652641163,False,False,False,True
199,28000,-65000.0,295000.0,-2.318494689685283,False,False,False,True
200,40000,-65000.0,295000.0,-1.7233648085233757,False,False,False,True
201,38000,-65000.0,295000.0,-1.8089502209893245,False,False,False,True
202,25000,-65000.0,295000.0,-2.5075892368777475,False,False,False,True
203,45000,-65000.0,295000.0,-1.5268379562611847,False,False,False,True
204,165919,-65000.0,295000.0,0.6503478468022023,False,False,False,True
205,40000,-65000.0,295000.0,-1.7233648085233757,False,False,False,True
206,26000,-65000.0,295000.0,-2.442147526562355,False,False,False,True
207,35000,-65000.0,295000.0,-1.9461685775418887,False,False,False,True
208,40000,-65000.0,295000.0,-1.7233648085233757,False,False,False,True
209,26000,-65000.0,295000.0,-2.442147526562355,False,False,False,True
210,40000,-65000.0,295000.0,-1.7233648085233757,False,False,False,True
211,35000,-65000.0,295000.0,-1.9461685775418887,False,False,False,True
212,33000,-65000.0,295000.0,-2.0443468779278295,False,False,False,True
213,30000,-65000.0,295000.0,-2.203376652641163,False,False,False,True
214,31000,-65000.0,295000.0,-2.1486652026456206,False,False,False,True
215,158966,-65000.0,295000.0,0.5789182764244384,False,False,False,True
216,180000,-65000.0,295000.0,0.7862631247343529,False,False,False,True
217,196000,-65000.0,295000.0,0.9283531627895104,False,False,False,True
218,95000,-65000.0,295000.0,-0.2800735683481583,False,False,False,True
219,100000,-65000.0,295000.0,-0.19448815588220966,False,False,False,True
220,150000,-65000.0,295000.0,0.4820505404977688,False,False,False,True
221,110000,-65000.0,295000.0,-0.03545838116887631,False,False,False,True
222,155000,-65000.0,295000.0,0.5367619904933111,False,False,False,True
223,150000,-65000.0,295000.0,0.4820505404977688,False,False,False,True
224,198000,-65000.0,295000.0,0.9452928994476892,False,False,False,True
225,150000,-65000.0,295000.0,0.4820505404977688,False,False,False,True
226,195000,-65000.0,295000.0,0.9198183629565582,False,False,False,True
227,180000,-65000.0,295000.0,0.7862631247343529,False,False,False,True
228,130000,-65000.0,295000.0,0.2432796665765797,False,False,False,True
229,130000,-65000.0,295000.0,0.2432796665765797,False,False,False,True
230,100000,-65000.0,295000.0,-0.19448815588220966,False,False,False,True
231,120000,-65000.0,295000.0,0.10972442835437447,False,False,False,True
232,75000,-65000.0,295000.0,-0.6745,False,False,False,True
233,170000,-65000.0,295000.0,0.6908914687937134,False,False,False,True
234,198000,-65000.0,295000.0,0.9452928994476892,False,False,False,True
235,196000,-65000.0,295000.0,0.9283531627895104,False,False,False,True
236,190000,-65000.0,295000.0,0.8764769721496105,False,False,False,True
237,140000,-65000.0,295000.0,0.3669325034536489,False,False,False,True
238,130000,-65000.0,295000.0,0.2432796665765797,False,False,False,True
239,120000,-65000.0,295000.0,0.10972442835437447,False,False,False,True
240,115000,-65000.0,295000.0,0.03871159523620264,False,False,False,True
241,185038,-65000.0,295000.0,0.8323223696385998,False,False,False,True
242,117000,-65000.0,295000.0,0.06748040669537352,False,False,False,True
243,100000,-65000.0,295000.0,-0.19448815588220966,False,False,False,True
244,60000,-65000.0,295000.0,-1.0468261121433942,False,False,False,True
245,92000,-65000.0,295000.0,-0.3336145169071946,False,False,False,True
246,110000,-65000.0,295000.0,-0.03545838116887631,False,False,False,True
247,120000,-65000.0,295000.0,0.10972442835437447,False,False,False,True
248,140000,-65000.0,295000.0,0.3669325034536489,False,False,False,True
249,60000,-65000.0,295000.0,-1.0468261121433942,False,False,False,True
250,50000,-65000.0,295000.0,-1.3510386963799785,False,False,False,True
251,135000,-65000.0,295000.0,0.3062512806165656,False,False,False,True
252,163978,-65000.0,295000.0,0.6307132796698154,False,False,False,True
253,85000,-65000.0,295000.0,-0.4656590717040553,False,False,False,True
254,110000,-65000.0,295000.0,-0.03545838116887631,False,False,False,True
255,120000,-65000.0,295000.0,0.10972442835437447,False,False,False,True
256,95000,-65000.0,295000.0,-0.2800735683481583,False,False,False,True
257,100000,-65000.0,295000.0,-0.19448815588220966,False,False,False,True
258,85000,-65000.0,295000.0,-0.4656590717040553,False,False,False,True
259,95000,-65000.0,295000.0,-0.2800735683481583,False,False,False,True
260,120000,-65000.0,295000.0,0.10972442835437447,False,False,False,True
261,70000,-65000.0,295000.0,-0.7896180370441199,False,False,False,True
262,110000,-65000.0,295000.0,-0.03545838116887631,False,False,False,True
263,50000,-65000.0,295000.0,-1.3510386963799785,False,False,False,True
264,105000,-65000.0,295000.0,-0.11307934066413845,False,False,False,True
265,174436,-65000.0,295000.0,0.7338724340672774,False,False,False,True
266,70000,-65000.0,295000.0,-0.7896180370441199,False,False,False,True
267,160000,-65000.0,295000.0,0.5897362724721619,False,False,False,True
268,40000,-65000.0,295000.0,-1.7233648085233757,False,False,False,True
269,137000,-65000.0,295000.0,0.33078921886288754,False,False,False,True
270,136986,-65000.0,295000.0,0.33061870141870586,False,False,False,True
271,110000,-65000.0,295000.0,-0.03545838116887631,False,False,False,True
272,150000,-65000.0,295000.0,0.4820505404977688,False,False,False,True
273,177002,-65000.0,295000.0,0.7582384655797547,False,False,False,True
274,155000,-65000.0,295000.0,0.5367619904933111,False,False,False,True
275,135596,-65000.0,295000.0,0.31360140587177104,False,False,False,True
276,102828,-65000.0,295000.0,-0.14795646948792604,False,False,False,True
277,130356,-65000.0,295000.0,0.24784268086342448,False,False,False,True
278,120000,-65000.0,295000.0,0.10972442835437447,False,False,False,True
279,131000,-65000.0,295000.0,0.25606555082196175,False,False,False,True
280,120000,-65000.0,295000.0,0.10972442835437447,False,False,False,True
281,55000,-65000.0,295000.0,-1.1920089216666452,False,False,False,True
282,90000,-65000.0,295000.0,-0.37028741576341584,False,False,False,True
283,122000,-65000.0,295000.0,0.13730439065080993,False,False,False,True
284,144647,-65000.0,295000.0,0.4214171075364366,False,False,False,True
285,180000,-65000.0,295000.0,0.7862631247343529,False,False,False,True
286,55000,-65000.0,295000.0,-1.1920089216666452,False,False,False,True
287,80000,-65000.0,295000.0,-0.566814268025607,False,False,False,True
288,160000,-65000.0,295000.0,0.5897362724721619,False,False,False,True
289,83577,-65000.0,295000.0,-0.49382901969958903,False,False,False,True
290,80000,-65000.0,295000.0,-0.566814268025607,False,False,False,True
291,100000,-65000.0,295000.0,-0.19448815588220966,False,False,False,True
292,140000,-65000.0,295000.0,0.3669325034536489,False,False,False,True
293,90000,-65000.0,295000.0,-0.37028741576341584,False,False,False,True
294,150000,-65000.0,295000.0,0.4820505404977688,False,False,False,True
295,170000,-65000.0,295000.0,0.6908914687937134,False,False,False,True
296,120000,-65000.0,295000.0,0.10972442835437447,False,False,False,True
297,130000,-65000.0,295000.0,0.2432796665765797,False,False,False,True
298,180000,-65000.0,295000.0,0.7862631247343529,False,False,False,True
299,48000,-65000.0,295000.0,-1.4191522242867916,False,False,False,True
300,170000,-65000.0,295000.0,0.6908914687937134,False,False,False,True
301,125000,-65000.0,295000.0,0.17783795626118462,False,False,False,True
302,105000,-65000.0,295000.0,-0.11307934066413845,False,False,False,True
303,180000,-65000.0,295000.0,0.7862631247343529,False,False,False,True
304,120000,-65000.0,295000.0,0.10972442835437447,False,False,False,True
305,105000,-65000.0,295000.0,-0.11307934066413845,False,False,False,True
306,147708,-65000.0,295000.0,0.45635830824118373,False,False,False,True
307,204000,-65000.0,295000.0,0.9951040530302976,False,False,False,True
308,70000,-65000.0,295000.0,-0.7896180370441199,False,False,False,True
309,90000,-65000.0,295000.0,-0.37028741576341584,False,False,False,True
310,178859,-65000.0,295000.0,0.7756527086286616,False,False,False,True
311,190000,-65000.0,295000.0,0.8764769721496105,False,False,False,True
312,150000,-65000.0,295000.0,0.4820505404977688,False,False,False,True
313,101332,-65000.0,295000.0,-0.1724097911199077,False,False,False,True
314,140000,-65000.0,295000.0,0.3669325034536489,False,False,False,True
315,100000,-65000.0,295000.0,-0.19448815588220966,False,False,False,True
316,89000,-65000.0,295000.0,-0.3889306234519572,False,False,False,True
317,140000,-65000.0,295000.0,0.3669325034536489,False,False,False,True
318,140000,-65000.0,295000.0,0.3669325034536489,False,False,False,True
319,110000,-65000.0,295000.0,-0.03545838116887631,False,False,False,True
320,146508,-65000.0,295000.0,0.44274741843234255,False,False,False,True
321,105000,-65000.0,295000.0,-0.11307934066413845,False,False,False,True
322,160976,-65000.0,295000.0,0.599883508121532,False,False,False,True
323,155000,-65000.0,295000.0,0.5367619904933111,False,False,False,True
324,84181,-65000.0,295000.0,-0.48181399339646847,False,False,False,True
325,70216,-65000.0,295000.0,-0.7844772966632274,False,False,False,True
326,130000,-65000.0,295000.0,0.2432796665765797,False,False,False,True
327,182237,-65000.0,295000.0,0.806871694233916,False,False,False,True
328,105725,-65000.0,295000.0,-0.10159799457916309,False,False,False,True
329,50000,-65000.0,295000.0,-1.3510386963799785,False,False,False,True
330,182506,-65000.0,295000.0,0.8093328241723233,False,False,False,True
331,155000,-65000.0,295000.0,0.5367619904933111,False,False,False,True
332,91062,-65000.0,295000.0,-0.35071378757456906,False,False,False,True
333,177347,-65000.0,295000.0,0.7614875213891679,False,False,False,True
334,155000,-65000.0,295000.0,0.5367619904933111,False,False,False,True
335,135000,-65000.0,295000.0,0.3062512806165656,False,False,False,True
336,160000,-65000.0,295000.0,0.5897362724721619,False,False,False,True
337,195000,-65000.0,295000.0,0.9198183629565582,False,False,False,True
338,106492,-65000.0,295000.0,-0.08953691356449954,False,False,False,True
339,120000,-65000.0,295000.0,0.10972442835437447,False,False,False,True
340,145000,-65000.0,295000.0,0.4254841156260003,False,False,False,True
341,95000,-65000.0,295000.0,-0.2800735683481583,False,False,False,True
342,140000,-65000.0,295000.0,0.3669325034536489,False,False,False,True
343,95000,-65000.0,295000.0,-0.2800735683481583,False,False,False,True
344,165000,-65000.0,295000.0,0.6410803152111051,False,False,False,True
345,185000,-65000.0,295000.0,0.8319796756994018,False,False,False,True
346,179180,-65000.0,295000.0,0.7786445872039942,False,False,False,True
347,105000,-65000.0,295000.0,-0.11307934066413845,False,False,False,True
348,190000,-65000.0,295000.0,0.8764769721496105,False,False,False,True
349,200000,-65000.0,295000.0,0.962062384615559,False,False,False,True
350,210000,-65000.0,295000.0,1.0434711998336303,False,False,False,True
351,185000,-65000.0,295000.0,0.8319796756994018,False,False,False,True
352,70000,-65000.0,295000.0,-0.7896180370441199,False,False,False,True
353,190000,-65000.0,295000.0,0.8764769721496105,False,False,False,True
354,135000,-65000.0,295000.0,0.3062512806165656,False,False,False,True
