model,term,coef,std_err,t,p_value,ci_lower_95,ci_upper_95
model1_level_level,Intercept,63493.002424146274,14342.242631909263,4.4269926296522275,1.2218717355241114e-05,35300.89852237288,91685.10632591967
model1_level_level,"C(Gender, Treatment(reference='Female'))[T.Male]",5602.145313678861,2887.00142101177,1.9404719626759137,0.05299603708492889,-72.7443193168674,11277.03494667459
model1_level_level,"C(Gender, Treatment(reference='Female'))[T.Other]",-26771.074052573647,30693.009702190844,-0.8722205581117302,0.3835899911107492,-87103.37638422879,33561.2282790815
model1_level_level,"C(Q('Education Level'), Treatment(reference='High School'))[T.Bachelor]",36908.31922627931,5623.270645641146,6.5634968601215435,1.56348202201234e-10,25854.829588821995,47961.80886373662
model1_level_level,"C(Q('Education Level'), Treatment(reference='High School'))[T.Master]",48751.380836726625,6025.929180372976,8.090267803928812,6.563103301926324e-15,36906.39773904576,60596.36393440749
model1_level_level,"C(Q('Education Level'), Treatment(reference='High School'))[T.PhD]",57442.78946287528,6876.170663606225,8.353892344020045,9.896927957671623e-16,43926.512910460915,70959.06601528963
model1_level_level,Age,-1593.6482820619258,541.8992707839096,-2.94085703373721,0.0034553477353291583,-2658.8429617451184,-528.4536023787332
model1_level_level,Q('Years of Experience'),7182.795822750775,650.2383647736904,11.046404229394682,4.666160305146968e-25,5904.642328133819,8460.949317367731
