model,term,coef,std_err,t,p_value,ci_lower_95,ci_upper_95
model3_log_level_extended,Intercept,9.677182244108067,0.424124330855109,22.816852371089325,3.2968828547039645e-75,8.843476546112406,10.510887942103729
model3_log_level_extended,"C(Gender, Treatment(reference='Female'))[T.Male]",0.03525389690628349,0.03741733753273061,0.9421807972158719,0.3466495407274903,-0.0382977605569178,0.10880555436948477
model3_log_level_extended,"C(Gender, Treatment(reference='Female'))[T.Other]",-0.17773209423830222,0.5094103123272374,-0.3488977155298141,0.7273434734751218,-1.1790853510738655,0.8236211625972609
model3_log_level_extended,"C(Q('Education Level'), Treatment(reference='High School'))[T.Bachelor]",0.5598442121310079,0.08693569505171314,6.439750804292623,3.3227321930737335e-10,0.38895379380085326,0.7307346304611625
model3_log_level_extended,"C(Q('Education Level'), Treatment(reference='High School'))[T.Master]",0.8556254611772313,0.10499475242917868,8.149221188500539,4.385311998074641e-15,0.6492361621163527,1.0620147602381098
model3_log_level_extended,"C(Q('Education Level'), Treatment(reference='High School'))[T.PhD]",1.0752063153284266,0.14618723212933232,7.354994685015912,1.0324275948825588e-12,0.7878445217837999,1.3625681088730532
model3_log_level_extended,Age,0.045146332034326164,0.023857772670827764,1.89231126715903,0.059146954430873575,-0.0017511448848871736,0.0920438089535395
model3_log_level_extended,Age2,-0.0008538458441819999,0.0003143879223433028,-2.7158990008834505,0.006886421195587355,-0.0014718415194364127,-0.0002358501689275871
model3_log_level_extended,Q('Years of Experience'),0.08720372495755511,0.013952351051022509,6.250109722630891,1.0209397947670446e-09,0.059777440433343175,0.11463000948176705
model3_log_level_extended,Exp_x_Bachelor,0.00268057391912093,0.013722039734680884,0.1953480656630141,0.8452163075471326,-0.024292985206480263,0.029654133044722124
model3_log_level_extended,Exp_x_Master,-0.0190578569338749,0.014060382646681654,-1.3554294653831973,0.1760197578849421,-0.04669650031211203,0.008580786444362231
model3_log_level_extended,Exp_x_PhD,-0.02903703510287352,0.014820225313420685,-1.9592843218502611,0.050750197389995366,-0.05816930927461719,9.523906887015307e-05
